author,number_titles,id
Oscar-Iván Lepe-Aldama,2,11274
Nicholas Gibbins,2,11282
Jedidiah R. Crandall,2,11290
Gaurav Somani,2,11293
Claudio Ochoa,2,11299
Dragan Nesic,2,11304
Giuseppe Acciani,2,11305
Richard W. Hall,2,11320
Jörg P. Wadsack,2,11323
Jimmy Ho-Man Lee,2,11324
Joanna Lumsden,2,11325
Jimmy Tsai,2,11326
Brecht Wyseur,2,11342
Ranko Lazic,2,11343
Julian Cummings,2,11355
Garry Froehlich,2,11360
David A. Pope,2,11365
Uma G. Gupta,2,11374
Rafael Asorey-Cacheda,2,11376
Joern Mueller-Quade,2,11387
V. T. Rajan,2,11394
Darko Stefanovic,2,11397
In-So Kweon,2,11405
Johannes Wolkerstorfer,2,11407
Vincent Hellendoorn,2,11410
Peter van der Stok,2,11411
M. Sakthi Balan,2,11416
E R Vimina,2,11421
Didier Hoareau,2,11423
Joydip Mitra,2,11425
Les Nelson,2,11430
Zoran Obradovic,2,11432
Rama Bindiganavale,2,11435
Trevor Savage,2,11440
Afef Fekih,2,11441
Maksim Jenihhin,2,11443
Toshiyuki Amagasa,2,11449
Xavier Anguera,2,11460
Lech Madeyski,2,11466
Antonio Ceballos Barbancho,2,11482
Srinivasan Jagannathan,2,11483
Bernard Gortais,2,11507
Shin Li,2,11509
Matteo Risoldi,2,11512
Sajjan G. Shiva,2,11520
Li Chen,2,11522
Joël Quinqueton,2,11523
Mirco Nanni,2,11533
Carlo Mastroianni,2,11538
Iain S. Duff,2,11540
Raunaq Rakesh,2,11548
Joe Finney,2,11549
Pierre-Yves Oudeyer,2,11554
Angshul Majumdar,2,11575
Rosemary H. Wild,2,11585
Pierre Glize,2,11595
Jay Beyer,2,11601
Hans Wolfgang Loidl,2,11602
Mats Blomquist,2,11604
Meena Mahajan,2,11608
Luca Turchet,2,11611
José Martínez Sotoca,2,11620
David Martinez,2,11621
Benno Stein,2,11623
Kentaro Inenaga,2,11636
James C. Lester,2,11647
Pablo Navarrete,2,11650
N. A. B. Sankar Chebolu,2,11658
James H. Kukula,2,11663
Sylvain Martin,2,11666
Adrien Combaz,2,11668
Wu-Chung Su,2,11671
Ricardo Grau,2,11682
K. Khorasani,2,11685
Ron Kohavi,2,11688
Jose George,2,11696
Diwaker Gupta,2,11697
Sifra Bolle,2,11699
James F. Courtney,2,11711
Ivan Gerace,2,11714
Kimon P. Kontovasilis,2,11734
R. Geoff Dromey,2,11744
Weishan Zhang,2,11760
Luis Miguel Bergasa,2,11770
Ickjai Lee,2,11777
Rafael Navarro,2,11789
Yang Li,2,11795
Lan Nguyen,2,11800
Srikantan S. Nagarajan,2,11804
Duane Szafron,2,11806
David Martin,2,11808
Sanjeev Khanna,2,11824
Chul Sur,2,11829
Giorgio Ghelli,2,11833
Robert F. Woodbury,2,11839
Anuradha D. Thakare,2,11848
Owe Axelsson,2,11849
Kun-Li Wen,2,11857
Annegret Habel,2,11859
Shabbir N. Merchant,2,11863
Faj Frank Boeren,2,11864
Annika Eichler,2,11874
Thierry Turletti,2,11876
Sei Zhen Khong,2,11879
Jochen Liedtke,2,11880
D. Sivakumar,2,11884
Mauro Barni,2,11886
Waymond Rodgers,2,11889
Mohamed Amine Chatti,2,11894
Laura Papaleo,2,11914
Pascal Poncelet,2,11918
Vijay K. Gurbani,2,11931
Russ Abbott,2,11934
Atm Ad Aerts,2,11941
Alberto Lovato,2,11942
Alexander Maedche,2,11943
Elizabeth Ferreira Gouvea Goldbarg,2,11946
Richard T. Pascoe,2,11952
Giosue Vitaglione,2,11954
O. Schneider,2,11960
Sarah Smith Heckman,2,11967
John Bagterp Jørgensen,2,11970
Chongying Cao,2,11972
Alberto O. Mendelzon,2,11974
Marko Smiljanic,2,11976
Katerina Potika,2,11978
Nabile Boussaid,2,11983
Klaus P. Jantke,2,11989
Michaela Ogris,2,12006
Paola Sebastiani,2,12008
Olga Tveretina,2,12010
Sung-Kwun Oh,2,12012
Nevroz Sen,2,12014
Anas Bassam AL-Badareen,2,12015
Gerard Allwein,2,12025
Raghu Kisore Neelisetti,2,12038
Aurélien Slodzian,2,12044
H. Dahmani,2,12048
T.S.S. Balaji,2,12050
Xuefeng Zhang,2,12055
Sergio Mendoza,2,12061
Soon-Bum Lim,2,12063
Mayer Aladjem,2,12065
Franco Callegati,2,12066
Frédéric Vivien,2,12067
Ziyang Meng,2,12069
Julian Theis,2,12075
Dieter Seghers,2,12093
Hongtao Wu,2,12095
Robert R. Schneck,2,12104
Edel Sherratt,2,12119
Yasushi Inoguchi,2,12140
Carl-Arndt Krapp,2,12145
Azizan Aziz,2,12149
Jacobson Michael,2,12154
Frank Vetere,2,12156
Xiaofeng Zhang,2,12160
Leonardo Mendonça de Moura,2,12164
Yinghua Lu,2,12165
Deborah L. McGuinness,2,12170
Helen Nissenbaum,2,12176
Pedro R. Falcone Sampaio,2,12185
Kousha Etessami,2,12203
Qian Li,2,12204
Prabhjot Kaur,2,12205
Takashi Kawasaki,2,12215
Philippe Pasquier,2,12223
Seunggwan Lee,2,12224
Steve R. Gunn,2,12225
Sangmin Park,2,12231
Xuehua Chen,2,12235
Mauro Gaspari,2,12247
Anthony Brill,2,12249
Alessandro Bozzon,2,12258
Christian Ott,2,12265
Stijn Mostinckx,2,12266
Quan Pan,2,12268
Anna Prach,2,12273
Harald Böhme,2,12276
Ravi N. Banavar,2,12277
Rafael Dueire Lins,2,12281
Filip Schutyser,2,12283
Atsushi Shimbo,2,12305
Liang Sun,2,12311
A. N. Rajagopalan,2,12312
José Merseguer,2,12316
Rainer Feldmann,2,12317
Yingjiu Li,2,12326
Jaroslav Nesetril,2,12328
Chuan Heng Foh,2,12338
Yun-Chia Liang,2,12339
Jan Kleissl,2,12344
Glêdson Elias,2,12350
Pei Hsia,2,12357
Soren Ebbesen,2,12361
Kerstin Schill,2,12362
Javier Jaén Martínez,2,12373
Takashi Fukuda,2,12385
Laura Vallius,2,12390
Jörg Heuer,2,12391
Wolf Kohn,2,12396
Yi Jiang,2,12402
Victor M. Gonzalez,2,12407
Dina Goren-Bar,2,12409
Marcus Ciolkowski,2,12410
Noboru Takagi,2,12414
Lukas Linsbauer,2,12416
Jan Wieghardt,2,12418
Hiroyuki Kawai,2,12423
Peter G. Selfridge,2,12432
Tianguang Chu,2,12436
Pat Hanrahan,2,12459
Hortensia Mecha,2,12466
Radoslav Paulen,2,12467
Ting Wang,2,12469
Vincent Chiew,2,12477
Rüdiger Weis,2,12478
Qijun Deng,2,12495
Rongyue Zhang,2,12496
Ryuichi Ueda,2,12501
Marcus Denker,2,12508
Anton Korniienko,2,12510
Georgios Karagiannis,2,12525
Dalpat Songara,2,12534
Gerlof Bouma,2,12537
Shuchi Grover,2,12545
Anitha Sheela Kankacharla,2,12548
Frank Althoff,2,12553
Ivan Flores,2,12555
Andres J. Ramirez,2,12559
Zita Vale,2,12562
Dong-Ik Oh,2,12569
Henk Ellermann,2,12577
Nobuaki Mutoh,2,12582
Zoltán Szabó,2,12591
Robin S. Poston,2,12592
Judea Pearl,2,12593
Marc Seutter,2,12597
Shing-Tung Yau,2,12603
Seong-Hoon Lee,2,12605
Bundit Manaskasemsak,2,12607
Isaac Chao,2,12611
Ramesh Bharadwaj,2,12618
Gerald Schaefer,2,12620
Koji Chida,2,12629
Mallesham Dasari,2,12636
Dave Arnold,2,12647
Dhikra Kchaou,2,12648
Charles R. Litecky,2,12653
Deqing Zou,2,12654
Dmitrij Schlesinger,2,12669
Cory Miller,2,12676
Peter J. McCann,2,12677
Stephen D. Miller,2,12679
Moshe Zukerman,2,12681
Tomoya Enokido,2,12686
Ming Zheng,2,12690
Sita Ramakrishnan,2,12694
Gurvinder S. Baicher,2,12705
Clare Dixon,2,12708
Yury Orlov,2,12711
Zhou Wang,2,12718
Ramanathan V. Guha,2,12720
Alongkrit Chutinan,2,12734
Tetsuya Izu,2,12748
Karel Vredenburg,2,12766
Wojciech Mazurczyk,2,12768
K. Murugesan,2,12770
Giancarlo Ferrari-Trecate,2,12774
Diego Vallespir,2,12775
J.-P. Banatre,2,12779
Shijun Li,2,12782
An Lu,2,12790
Barbara Masucci,2,12793
Robert Haimes,2,12798
Esra Erdem,2,12817
Peter Grünwald,2,12821
Ben Shreeve,2,12830
Jee-In Kim,2,12834
Duc-Khanh Tran,2,12844
Akram Idani,2,12845
Ulrich Kaufmann,2,12856
Uldis Bojars,2,12865
Philippe De Ryck,2,12867
Matúš Mihalák,2,12880
Alan Colker,2,12890
Mark E. Roberts,2,12893
Baruch Awerbuch,2,12899
Robert M. Akscyn,2,12904
Yimin Zhang,2,12906
Leisa Armstrong,2,12909
Tack-Don Han,2,12912
Luc Claesen,2,12916
Dietmar Fey,2,12934
Hong Sheng,2,12936
Sheung-Hung Poon,2,12948
Ian Thomas,2,12953
Zhiyong Wang,2,12960
Satish Nambisan,2,12967
Rong Pan,2,12976
Knut Reinert,2,12977
Joseph R. Kiniry,2,12984
Jaap Top,2,12994
Rod Adams,2,13000
Shang Gao,2,13003
Matthew T. Rich,2,13004
Matti Luukkainen,2,13006
Reda Bendraou,2,13008
Jens Gerlach,2,13012
Dominique Gruyer,2,13014
Viktor K. Decyk,2,13016
Maurizio Giordano,2,13022
José Santamaría,2,13024
Benedek Nagy,2,13028
Verus Pronk,2,13036
Wieland Fischer,2,13039
H M Jadav,2,13040
Péter Molnár,2,13049
Atef Bader,2,13060
Shaomin Mu,2,13063
Bruno Martins,2,13066
Ellen Jochemsz,2,13069
Wim Martens,2,13072
Thomas Kamphans,2,13073
Stefan Kern,2,13074
David F. Manlove,2,13075
Jayashree Padmanabhan,2,13081
S. R. Clark,2,13083
José Cuena,2,13099
Martina Angela Sasse,2,13104
Danny B. Lange,2,13117
Gady Agam,2,13121
Jarmo Laaksolahti,2,13124
Karen O. Egiazarian,2,13130
Soumyadip Bandyopadhyay,2,13136
Paqui Lucio,2,13141
Ian Watson,2,13142
Martha E. Crosby,2,13146
Hesam Zomorodi,2,13148
Shahrouz Moaven,2,13150
Elena Moscu Panainte,2,13151
Ashok Mishra,2,13162
Guorui Li,2,13164
Ralf Huuck,2,13168
Gokce B. Laleci,2,13171
Alex Ansari,2,13174
Oscar López,2,13177
Murlikrishna Viswanathan,2,13185
Christopher A. Pennington,2,13186
Shinobu Saito,2,13229
Shaoliang Peng,2,13232
Daniel F. García,2,13234
Dennis R. Goldenson,2,13246
Jeff Smith,2,13250
Javier Muguerza,2,13253
Gaia Maselli,2,13255
Skander Taamallah,2,13257
Aran Lunzer,2,13263
Igor Hawryszkiewycz,2,13281
Mila E. Majster-Cederbaum,2,13283
Jae Won Lee,2,13285
Edmund H. Durfee,2,13292
Yiming Zhao,2,13296
Gérard D. Cohen,2,13297
Henry S. Warren,2,13299
Ashley A. Bush,2,13304
Weixing Wang,2,13309
Elizabeth M. Belding-Royer,2,13320
Steffen T. Simon,2,13333
Leonidas J. Guibas,2,13338
Geylani Kardas,2,13343
Eric Dubois,2,13348
Hailong Cai,2,13351
Whie Chang,2,13352
Eric C. Whitman,2,13353
Graham Tate,2,13358
Xiaoming Hu,2,13359
Joe Carthy,2,13361
Bo Cao,2,13368
Max Mühlhäuser,2,13370
Laura Diosan,2,13376
José E. Gallardo,2,13380
Alan T. Krantz,2,13386
Alexandre Carissimi,2,13387
Sung-Jae Kim,2,13388
Mikalai Yatskevich,2,13395
Steve Talbott,2,13398
Sang-Jo Lee,2,13401
Maria I. Andreou,2,13405
M. Ani Hsieh,2,13407
Manfred Schoelzke,2,13416
Alireza Tahbaz-Salehi,2,13427
Rajan Kapoor,2,13428
Dorothea Blostein,2,13429
Maureen A. O'Rourke,2,13434
Nuttapong Attrapadung,2,13435
Helena Holmström Olsson,2,13436
Hüseyin Göksu,2,13457
Lixin Zhang,2,13460
Jinwoong Kim,2,13465
Kim-Kwang Raymond Choo,2,13467
W. Kacalak,2,13468
Perttu Hämäläinen,2,13469
Jai Asundi,2,13471
Ernst Ellmer,2,13474
John E. Laird,2,13477
Erika S. Mesh,2,13479
Roc Messeguer,2,13486
Gaëtan Vanet,2,13488
Pablo Montesinos,2,13489
Oscar Luaces,2,13490
Paul Hunter,2,13499
David Marca,2,13504
Luca Argenton,2,13508
Philip Perry,2,13515
Kwang-Il Hwang,2,13525
Manuel Salvadores,2,13536
Michiharu Tsukamoto,2,13539
Bartek P. Wydrowski,2,13543
Khaled Ghedira,2,13550
Sang-Joon Lee,2,13556
Robert T. M'Closkey,2,13562
T. C. Tan,2,13565
Krzysztof Diks,2,13585
Manfred Nagl,2,13586
Sunil Kim,2,13591
Frank D. Valencia,2,13599
Sue Newell,2,13605
Georg S. Seyboth,2,13616
G. Santhosh Kumar,2,13622
Barbara Carminati,2,13630
Andreas Bauer,2,13633
Norman Fenton,2,13654
Jonqlan Lin,2,13656
Ryosuke Shibasaki,2,13661
Siska Fitrianie,2,13674
Sang Ryong Kim,2,13675
A. Yilmaz Camurcu,2,13677
Young-ri Choi,2,13686
Susanne Albers,2,13687
Maria Prodanova,2,13708
Jung Rim Kim,2,13710
Youssef Amghar,2,13713
Gregor Leander,2,13716
Stefan Miltchev,2,13722
Jean-Yves Marion,2,13725
Michael Grossniklaus,2,13727
Theodoor Moons,2,13728
Ali Aydın Selçuk,2,13734
Célia da Costa Pereira,2,13739
Xiaojing Zhang,2,13750
Huyen T. Dinh,2,13751
Nicole Vincent,2,13757
Abder Koukam,2,13772
Robert Laurini,2,13777
Yves Vandewoude,2,13778
José Alberto Fernández-Zepeda,2,13780
Hyun-Kyu Kang,2,13788
Jacqueline de Vries,2,13796
Isabelle Tellier,2,13800
John Quinn,2,13802
Jürgen Avenhaus,2,13814
Paris Flegkas,2,13827
Subhankar Dhar,2,13840
Gianluca De Petris,2,13865
Chin Kuan Ho,2,13873
Masaaki Kurosu,2,13876
Jean-Jacques Lévy,2,13877
Mathieu Ciet,2,13896
Grammati E. Pantziou,2,13898
Kent A. Walstrom,2,13901
Yvonne Hitchcock,2,13905
M. De Santo,2,13908
Stephanie Schuckers,2,13912
Markus Krötzsch,2,13916
Jeffrey D. Hicks,2,13922
Ulf Lorenz,2,13928
Kyung-Chang Kim,2,13929
Paul A. Beardsley,2,13938
Christian Bräuer-Burchardt,2,13947
Ee Peng Lim,2,13957
Emmanuel Moulay,2,13965
Elizabeth Litzler,2,13966
Anthony Hunter,2,13967
Adriano Albuquerque,2,13975
Markus Knauff,2,13983
Corina Ferdean,2,13984
François Koeune,2,13986
Hebert Pérez-Rosés,2,13990
K. S. Geetha,2,13992
Qinggang Meng,2,14005
Peter Korošec,2,14006
Raffaele Bolla,2,14011
Juan Ramón Rico-Juan,2,14012
Eytan Adar,2,14018
Michalis Anastasopoulos,2,14033
Abhinav Gupta,2,14034
Venansius Baryamureeba,2,14035
William N. Scherer,2,14053
Mark J. T. Smith,2,14056
Ibrahim Takouna,2,14057
Karen Smiley,2,14067
David Fernández Llorca,2,14085
Yannis Theodoridis,2,14092
Jianfeng Ma,2,14093
Jiang Hao,2,14097
Andrew Borg,2,14100
Octavio Martín-Díaz,2,14108
Alexis Tsoukiàs,2,14116
P. Vijay Kumar,2,14123
Sundar Balasubramaniam,2,14126
Valentina Gliozzi,2,14130
Yongtian Yang,2,14135
Kannan Karthik,2,14140
Nicola Mimmo,2,14155
Marco Mobilio,2,14164
Xinan Tang,2,14169
Niall J. L. Griffith,2,14170
Vinay Kumar,2,14171
Jin Gu,2,14172
Thomas Strang,2,14186
Mark Wallace,2,14188
Alexander Leonessa,2,14195
Taiyue Liu,2,14201
James Skene,2,14203
Weizhong Qiang,2,14213
William Enck,2,14220
Amos Y. Johnson,2,14223
Chow S. Lam,2,14229
Erik P. de Vink,2,14235
Peng Yan,2,14243
Sofie Pollin,2,14246
Hyun-Jun Kim,2,14248
Douglas Schuler,2,14249
Yngve Villanger,2,14252
Rongxin Wu,2,14254
Imad M. Abbadi,2,14255
Youngsong Cho,2,14258
Michael Fry,2,14275
Marijan Kunstic,2,14288
Jong Hyuk Park,2,14294
Cristina Nita-Rotaru,2,14296
Yan Clément,2,14300
Matt Wallace,2,14303
Ron O. Dror,2,14314
Rajesh K. Bawa,2,14315
Sang-Moon Soak,2,14318
Andrey V. Savkin,2,14327
Yoshiharu Ishikawa,2,14332
Miquel Martin,2,14333
Adel Torkaman Rahmani,2,14336
P. Santhi Thilagam,2,14337
Wenjing Jia,2,14347
Anne N. De Roeck,2,14350
Gordon Kurtenbach,2,14362
Chutima Pisarn,2,14368
Barnabás Póczos,2,14377
Johan Muskens,2,14378
Thomas Beth,2,14380
Jesús M. Torres,2,14396
Susana Díaz,2,14407
C. Mohan,2,14426
Michael E. Senko,2,14428
Gigliola Vaglini,2,14430
Juan Fernandez-Ramil,2,14439
Ali Erdem Özcan,2,14443
Maarten H. van Emden,2,14444
Keith Shwayder,2,14447
Yiqing Tu,2,14463
Fen Xiao,2,14465
Masafumi Nishida,2,14477
Hung-Chang Yang,2,14480
Ge Jin,2,14486
Ruhan He,2,14488
David A. Fisher,2,14494
Miguel R. Penabad,2,14503
Xuming He,2,14508
Luca Caviglione,2,14511
Hojung Cha,2,14513
Teresa Roselli,2,14532
Kasia Muldner,2,14533
Serhiy Kosinov,2,14537
Dimitrios S. Nikolopoulos,2,14543
José Ángel Vera-Félix,2,14573
Paul P. Tallon,2,14596
S. Krishna,2,14599
Dominique Larchey-Wendling,2,14602
Juan Diego Sanchez-Torres,2,14607
Gabriela Csurka,2,14616
Woong-Kee Loh,2,14624
Gerard D. Finn,2,14625
Franklin D. Rincón,2,14630
Krishna Kant,2,14631
Siau Cheng Khoo,2,14632
Sômulo Mafra,2,14633
Franziska Freund,2,14642
William P. Heising,2,14650
Patrick Baudisch,2,14659
Arvind S. Krishna,2,14664
Clyde W. Holsapple,2,14665
Marek Gibiec,2,14666
Hassan Ebrahimirad,2,14672
Roland Carl Backhouse,2,14673
E. Moretti,2,14678
John Thornton,2,14694
Davor Runje,2,14703
Marcello Leida,2,14715
Martin Beaudry,2,14717
Wei-Neng Chen,2,14721
Francesc Prats,2,14735
Yusuf Sinan Akgul,2,14736
Hyun Gi Min,2,14738
Damian T. Murphy,2,14740
Yusuke Yokota,2,14748
Andrea Corti,2,14751
Phillipa Oaks,2,14765
Francois Goulette,2,14780
Michael J. Feeley,2,14783
Kazuhiro Kazama,2,14784
Dilip Patel,2,14796
G Gert Witvoet,2,14798
Christopher Walton,2,14799
Carlos García-Martínez,2,14807
Luísa Coheur,2,14813
Vo Dinh Minh Nhat,2,14818
Manu De Backer,2,14822
Shaukat Ali,2,14823
Douglas J. Leith,2,14827
Ting Zhang,2,14832
Tharindu Patikirikorala,2,14833
Daniel Oberle,2,14834
Shivank Dhote,2,14838
Rahul Jain,2,14847
Aurelio Velázquez,2,14850
Alessandro D'Innocenzo,2,14853
Jun Yoshida,2,14885
Nikolas Mitrou,2,14888
Clémentine Nebut,2,14890
Yu Suzuki,2,14891
Michiel Ronsse,2,14895
Nicolas Halbwachs,2,14900
Hongfang Wang,2,14901
Shah Rukh Humayoun,2,14904
Rajneesh Rani,2,14915
Hussein Charara,2,14932
Maria Datcheva,2,14940
Samar Dajani-Brown,2,14944
Manuel Alvarez-Campana,2,14946
Fabien Michel,2,14949
Stefan Bechtold,2,14959
Julien Cohen,2,14970
Agnieszka Lawrynowicz,2,14979
Guus Schreiber,2,14987
F. Rodriguez-Gil,2,14990
Ki Chang Kim,2,14995
Irfan Zakiuddin,2,15001
Yulin Xu,2,15005
Walid A. Najjar,2,15018
Tom Carey,2,15024
Vladislav Nemec,2,15032
Gwan Hwan Hwang,2,15037
Debdoot Mukherjee,2,15039
Yan Wan,2,15054
Koojoo Kwon,2,15064
Beomsik Song,2,15070
Kazuyuki Miura,2,15071
Jun Yajima,2,15075
Jesper Christiansen,2,15077
Marcello Calisti,2,15078
Nestor Garay,2,15088
Nupul Kukreja,2,15095
Jin-Yi Cai,2,15099
Shinya Tanaka,2,15107
Detlef Schoder,2,15114
Derya Altintan,2,15124
Mark Crovella,2,15134
Carlo Fischione,2,15141
Shuaib Karim,2,15143
Luigi Carro,2,15149
Julian Jang,2,15167
Fabrizio Fioravanti,2,15173
Hervé Frezza-Buet,2,15181
Hanno Scharr,2,15188
Yongpan Liu,2,15199
Jan-Peter Ostberg,2,15203
Mohammed Imamul Hassan Bhuiyan,2,15205
Dominic P. A. Greenwood,2,15214
Engelbert Hubbers,2,15215
Roberta Cardoso Cerqueira,2,15216
Wenguang Chen,2,15219
Silvia Miksch,2,15229
Paul D. Thistle,2,15237
Niketa Gandhi,2,15246
Vu1130928,2,15259
Merete Skjelten Tveit,2,15263
Michelle Chabrol,2,15266
Pawat Laohawee,2,15278
Thomas Hauk,2,15285
Tetsuo Ono,2,15286
David Bernstein,2,15287
Lothar Schöpe,2,15290
Marjo Kauppinen,2,15292
Sheshadri R. Thiruvenkadam,2,15297
Andreas Schrader,2,15326
Sungju Park,2,15368
Rick Rabiser,2,15375
Bongsu Hahn,2,15376
Chuan-Kang Ting,2,15382
Clemens Grelck,2,15384
Sofie Haesevoets,2,15393
Shiguo Lian,2,15402
Tseren-Onolt Ishdorj,2,15409
Jorge Gosálbez,2,15411
Yoshiko Wakabayashi,2,15412
Qingzhou Luo,2,15413
Dongil Han,2,15414
Jennifer Wortman Vaughan,2,15417
Alcino Cunha,2,15419
Cynthia Mathis Beath,2,15420
Dayang Norhayati Abang Jawawi,2,15428
Mehmet S. Aktas,2,15429
Robyn Taylor,2,15430
Peter J. Haas,2,15435
Tao Du,2,15438
Qaisar A. Malik,2,15450
Gerold Jäger,2,15455
José Colás,2,15457
Changchun Liu,2,15463
Roy Oberhauser,2,15472
Paulo Martins,2,15476
Roger Fischlin,2,15493
Dmitry Tishkovsky,2,15495
David L. Waltz,2,15505
Reto Spöhel,2,15508
Lan Du,2,15523
Yun Bai,2,15532
L. Peter Deutsch,2,15533
Narciso N. García,2,15547
Jiaping Gui,2,15550
Thanasis Hadzilacos,2,15554
Jianjun Huang,2,15557
Eric J. Johnson,2,15558
Martin Leissler,2,15559
Yang Wang,2,15565
Connie U. Smith,2,15574
Xiao Ma,2,15577
Akira Shimazu,2,15578
Thomas G. Moher,2,15584
Aram Galstyan,2,15588
John D. Gould,2,15594
Michal Malohlava,2,15595
Rajiv Kohli,2,15605
Michael R. P. Ragazzon,2,15623
W. Greg Phillips,2,15625
Lukas D. Kuhn,2,15630
Emil Alégroth,2,15632
Felicitas Becker,2,15664
Emmanuel Nataf,2,15678
Jorge Casillas,2,15679
Iade Gesso,2,15684
Georg E. Fantner,2,15685
Richard Brendon Kirkby,2,15687
Xuan Tan,2,15691
Hwanjong Song,2,15692
Geert J. Heijenk,2,15699
Siu Leung Chung,2,15700
Antoine Petitet,2,15704
Igor S. Pandzic,2,15708
Fernando Gustavo Tinetti,2,15711
Nora Faci,2,15714
I-Ting Liu,2,15728
Wes Masri,2,15745
A. Teixeira,2,15751
Sambit Bakshi,2,15755
Anca L. Ralescu,2,15758
Andrea Pugliese,2,15764
David Lesaint,2,15765
Amar Raheja,2,15779
Prateeksha Chauhaan,2,15782
Stavros J. Perantonis,2,15788
Nabila Benharkat,2,15808
Pavel A. Pevzner,2,15818
Bonny Banerjee,2,15820
Berna L. Massingill,2,15821
Hirokazu Kato,2,15822
Luca Bascetta,2,15824
Volker Turau,2,15833
Rob Kremer,2,15842
James W. Hanson,2,15846
Stephen Wan,2,15848
Christopher R. Johnson,2,15849
Fred Glover,2,15855
Francesco Tufano,2,15874
Stephen F. Siegel,2,15881
William Jones,2,15882
Shuxun Wang,2,15893
Jalal Al-Muhtadi,2,15903
Peter Calingaert,2,15912
Önder Gürcan,2,15915
Min Zhao,2,15921
Zhuoshi Wei,2,15937
Steffen Werner,2,15948
Tim D. Moreton,2,15950
Russ Housley,2,15958
Qiming Qin,2,15966
Klaus Irmscher,2,15975
Thouraya Bouabana-Tebibel,2,15983
Alain Le Guennec,2,15997
Richard Laing,2,15998
Dawson R. Engler,2,16012
Zhaoyan Fan,2,16013
Rakesh Kumar Bhujade,2,16016
Hongwei Xi,2,16017
S.L. Yan,2,16021
Elif Demirörs,2,16034
Mohammad S. Obaidat,2,16044
Patricia Costa,2,16046
Roberta Lima Gomes,2,16047
Hannes Werthner,2,16048
Yongqing Yang,2,16050
W. Burakowski,2,16061
Ian P. Gent,2,16074
Lorenzo Sarti,2,16078
Jae-Won Suh,2,16086
Daniela Spresny,2,16089
Mohammed Atiquzzaman,2,16114
Benjamin K. Tsou,2,16125
Arun Kumar,2,16146
Clifford A. Pickover,2,16152
Samuel H. Valentine,2,16162
Kam K. Leang,2,16169
Dae Woong Rhee,2,16171
Brian Curless,2,16222
Maarten P. D. Schadd,2,16227
Siddhartha Rai,2,16232
Sybren Deelstra,2,16243
Rebecca Schulman,2,16249
Hideki Hayashi,2,16251
Dennis Gonier,2,16267
Gunnar Gaubatz,2,16270
Felix Weigel,2,16271
Suparna Biswas,2,16272
Belinda A. Batten,2,16278
A. Bergson,2,16285
Tomaso Poggio,2,16289
Marco Gomes,2,16290
Roxana Danger,2,16296
Chien-Huey Sophie Chang,2,16315
Yuelong Zhu,2,16323
Alan Gibbons,2,16331
C. P. Prathibhamol,2,16334
S. V. Raghavan,2,16339
Gerald Tesauro,2,16341
Yasha Parvini,2,16345
Josef Pauli,2,16367
Michael Kircher,2,16377
Gregery T. Buzzard,2,16384
Alina Andreevskaia,2,16388
John A. N. Lee,2,16392
Yiqiang Wu,2,16394
Seungil You,2,16402
Jan Tožička,2,16427
Richard Alterman,2,16428
Brian G. Thomas,2,16446
Omar Boucelma,2,16448
Linda M. Collins,2,16458
Wilfried Buchholz,2,16462
Martin S. Olivier,2,16463
Fabian Benduhn,2,16471
Stephane Blouin,2,16501
Charalabos Skianis,2,16509
Ademar Aguiar,2,16513
Shohei Kato,2,16517
Paul W. P. J. Grefen,2,16519
Basabi Chakraborty,2,16537
Silvère Bonnabel,2,16544
Rick Salay,2,16551
Alberto J. Cañas,2,16554
Andrew Clark,2,16560
Graham Steel,2,16561
Engin Uzuncaova,2,16564
Wenyuan Wang,2,16566
Patrick Riley,2,16574
Sufatrio,2,16575
Kiyoshi Oguri,2,16576
Henrik Højgaard Rasmussen,2,16585
Pierre Gérard,2,16586
Wael R. Elwasif,2,16589
Amit Chakraborty,2,16593
Carlos E. Cuesta,2,16600
Brian Gluss,2,16611
Irina Trubitsyna,2,16619
Shahin Shahrampour,2,16624
Zhi-Wu Zhang,2,16625
John Bigham,2,16641
Paul Caspi,2,16649
Guoying Zhao,2,16656
Christine A. Halverson,2,16681
Miroslav Chlebík,2,16682
Milo M. K. Martin,2,16699
Meiqin Wang,2,16700
Wang-Chiew Tan,2,16704
Sarah King,2,16707
Piotr Szczuko,2,16709
David Sellier,2,16715
Thomas Schmidt,2,16726
Antonella Santone,2,16727
Gianfranco Ciardo,2,16739
Patricia González,2,16756
Mark S. Miller,2,16761
Allan Borodin,2,16763
Akio Fujiyoshi,2,16771
Peter W. Glynn,2,16777
Mary C. Jones,2,16778
A. W. Roscoe,2,16803
Ayushi Rastogi,2,16814
Tianning Zhang,2,16818
Gang Zhang,2,16827
David J. Kuck,2,16839
Ju Yong Chang,2,16852
Chih-Jen Lin,2,16873
Lena Wiese,2,16875
Ramez Elmasri,2,16880
Shibalik Mohapatra,2,16882
Manuel P. Malumbres,2,16884
Robert Stevens,2,16886
Yoshio Itoh,2,16901
Noah Snavely,2,16914
M Van Diest,2,16925
Heedong Ko,2,16927
Joanna Goode,2,16955
Vincent Frouin,2,16982
Jacek Wislicki,2,16989
Prabhpreet Kaur,2,16994
Ratan K. Guha,2,16997
Larry Bunch,2,16998
Manfredi Maggiore,2,17003
Edmundo Roberto Mauro Madeira,2,17006
